job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
0,11,0,7,9,4,1,0,3,164009
7,7,3,14,4,3,3,0,1,79594
8,10,0,2,7,4,3,2,5,74090
0,8,0,9,4,2,2,1,4,177193
11,2,1,12,7,1,6,0,4,120012
3,9,2,2,1,0,1,0,2,163369
8,0,4,5,1,2,6,2,1,111889
10,5,2,5,9,3,3,1,0,75418
5,11,0,1,3,3,5,0,3,103067
0,16,4,9,8,4,2,1,1,190692
7,7,4,17,0,1,3,0,1,114616
6,18,1,13,3,0,8,2,4,213768
2,12,3,14,2,2,0,2,2,126256
2,12,0,14,4,4,5,0,3,99105
0,19,4,3,1,1,9,0,4,277977
1,20,3,5,3,4,2,2,0,153683
5,20,4,13,6,0,9,2,0,235839
1,10,3,11,8,2,2,1,3,149179
9,6,0,11,9,3,0,0,2,130145
0,15,0,11,3,2,5,0,4,171868
9,11,0,19,4,1,4,2,1,176316
0,1,1,12,9,1,4,2,1,151573
2,15,2,16,6,2,3,1,5,85155
4,13,4,17,9,3,9,1,5,211079
1,11,3,5,8,0,8,2,5,193655
8,8,4,16,4,1,8,1,4,174809
11,2,0,17,0,4,6,2,4,110007
9,5,1,16,9,4,7,0,0,125885
0,8,0,1,9,0,8,2,4,210860
2,5,4,19,2,4,7,0,2,112184
7,16,0,12,8,1,0,1,4,174141
10,10,2,5,7,1,5,0,3,136760
0,2,3,7,9,0,1,2,1,215145
0,20,4,5,5,3,8,0,2,217694
1,20,3,8,5,3,2,1,2,160372
9,6,4,8,3,3,0,1,2,150228
2,11,3,11,7,3,4,0,1,109413
5,11,1,17,0,3,9,2,1,139571
8,6,0,6,3,2,7,2,2,103811
11,7,2,10,8,1,1,1,2,147598
3,1,3,1,3,2,5,0,1,110254
10,2,3,1,0,1,5,1,0,130462
0,2,3,10,1,1,7,0,2,162248
4,12,3,19,6,1,5,1,3,177206
7,14,3,10,3,0,5,0,1,178303
7,7,1,1,1,3,6,0,4,115045
1,12,0,8,9,2,1,2,4,157499
2,18,2,9,0,1,9,1,4,177966
3,11,1,3,5,4,3,2,4,85243
2,2,1,19,6,3,2,2,3,94452
5,14,0,16,8,4,1,2,0,134334
7,5,1,10,6,4,8,1,0,110496
8,11,2,9,9,0,8,0,2,149449
9,18,1,12,1,2,6,2,5,175198
1,16,0,11,0,3,4,1,4,131376
3,16,3,17,2,0,0,2,2,196032
4,10,0,19,6,0,4,0,1,165706
7,0,4,9,2,4,3,2,3,89019
1,4,3,18,6,1,9,2,3,186211
1,4,0,1,7,0,8,1,2,149564
6,18,1,1,9,1,5,0,4,153419
3,2,2,11,1,2,2,0,0,119178
3,18,4,14,1,0,5,1,5,224683
4,14,2,1,7,2,3,2,0,93675
8,5,1,4,6,2,6,2,5,102700
3,10,4,17,7,4,3,2,4,112408
9,5,1,5,3,0,4,1,3,149028
4,20,2,15,6,4,7,1,1,147176
8,20,2,4,7,3,0,1,2,122516
1,4,4,9,6,1,3,2,1,105672
7,8,2,13,2,4,6,1,4,112820
4,4,0,1,6,1,4,1,4,129558
3,7,2,3,7,4,1,0,1,132641
11,16,4,10,7,0,0,1,3,189803
4,15,0,12,0,4,4,0,0,130020
5,0,3,3,2,0,2,2,4,128283
2,18,1,1,4,0,4,2,0,145627
9,18,0,16,3,1,1,1,5,231967
1,4,4,1,0,2,9,0,1,157097
10,20,0,3,0,0,1,1,5,232676
0,2,3,16,0,4,6,2,2,135032
4,0,1,6,0,1,3,1,3,81552
10,13,3,4,1,0,1,0,4,223844
2,17,3,16,6,2,2,0,1,151402
5,3,2,8,1,0,2,1,1,107497
1,5,1,4,9,0,8,2,2,145192
8,18,0,2,6,1,2,1,3,159684
5,3,2,14,6,2,5,2,2,99078
0,1,1,2,7,0,2,2,0,156052
7,16,0,19,7,4,6,1,5,148565
9,14,0,17,4,2,9,1,1,209704
1,6,1,5,8,2,6,2,3,106026
2,0,4,4,7,3,7,1,5,87984
8,17,2,5,1,3,5,1,1,108872
3,10,1,1,4,2,6,0,2,125489
8,5,1,5,5,4,0,2,2,90015
2,18,4,1,7,1,4,0,2,158255
0,19,4,16,7,1,9,2,5,302707
0,19,2,15,5,1,3,2,0,133118
3,11,4,1,2,1,1,1,1,200492
11,4,0,13,5,0,1,0,3,169538
9,6,3,19,1,3,3,0,1,96671
3,0,1,12,4,4,2,1,1,106465
7,12,2,12,4,3,9,1,2,163948
4,2,3,17,3,2,4,0,4,126786
6,16,3,3,2,0,7,0,0,178115
7,14,2,9,7,4,5,1,5,127970
8,2,4,2,8,2,4,1,0,111528
1,3,4,11,1,4,8,0,2,126647
9,5,3,10,9,2,9,1,4,192223
10,20,1,15,2,0,9,0,3,262079
7,13,1,7,5,3,0,0,0,123538
7,5,1,12,1,2,7,1,3,121188
7,2,1,1,4,2,7,2,1,95483
9,0,0,14,2,1,3,2,4,100318
0,7,4,5,0,0,1,0,2,232814
5,19,0,14,7,2,2,2,0,155858
2,3,3,1,8,0,5,1,4,118312
7,13,0,9,9,3,5,2,5,134097
9,19,4,4,3,2,0,0,4,193452
3,10,3,6,0,3,9,1,4,178548
3,18,3,3,4,3,1,2,2,187091
5,6,0,1,1,3,2,0,4,103845
11,19,0,2,2,3,3,0,4,100343
1,5,1,4,7,3,8,2,0,112322
10,7,0,13,6,2,4,2,4,145794
0,3,1,18,3,1,4,0,5,157575
4,6,3,12,6,4,9,1,4,158762
5,11,3,15,0,2,7,2,1,130128
2,19,3,12,0,1,5,0,0,150877
2,18,3,2,4,2,8,1,4,157682
8,3,4,15,8,4,3,0,2,73584
10,0,3,16,7,3,5,1,5,120283
11,7,0,5,1,3,9,0,4,147804
8,19,4,3,2,0,7,2,3,196090
10,5,4,16,6,4,5,1,4,142315
3,13,1,9,0,4,7,1,3,131406
2,1,1,1,7,2,2,2,3,84787
11,19,4,16,4,4,7,1,0,156804
5,3,2,13,3,0,8,0,0,113733
3,11,0,14,4,3,4,0,4,139561
8,6,0,1,1,0,9,0,1,156793
3,5,2,6,7,3,7,0,3,99408
4,17,3,8,7,4,0,0,4,144658
10,8,0,11,1,1,0,0,0,137291
3,8,3,12,2,1,8,2,3,191824
7,11,1,3,5,4,9,0,4,152644
5,8,0,19,9,2,1,2,4,139952
8,17,4,2,1,0,1,1,2,209268
1,6,0,16,9,1,1,0,0,153313
9,2,0,19,5,3,8,0,1,147264
8,15,0,5,9,0,8,0,2,170556
7,19,3,3,2,1,7,0,4,185294
8,2,1,18,5,2,7,2,4,115170
7,20,0,9,4,2,8,2,1,190966
11,7,1,14,9,3,7,2,4,115600
3,6,4,18,8,2,9,0,4,212812
10,6,1,5,8,3,5,2,4,126531
8,10,2,19,8,2,6,1,1,121119
4,17,2,5,9,4,6,2,0,123778
7,16,3,19,6,2,2,0,0,178270
3,19,0,2,7,4,0,1,1,134228
1,2,1,6,5,1,6,0,5,103496
1,9,0,12,2,2,2,2,3,140099
2,15,4,6,3,1,8,2,0,181656
5,13,0,7,2,3,1,2,2,131966
2,9,0,3,6,3,1,2,3,133215
1,13,3,3,4,2,2,2,2,158747
2,9,1,2,9,2,5,2,4,105728
4,4,1,17,5,0,0,1,3,143661
4,12,3,4,8,2,1,0,3,173792
1,2,3,10,3,2,5,2,3,120048
4,4,1,17,3,0,0,1,4,149074
1,10,1,4,2,4,5,0,1,97005
10,6,4,5,2,4,2,1,4,145456
9,2,2,13,5,1,4,2,5,146219
10,6,4,6,3,0,1,0,1,202102
5,15,3,12,8,4,7,1,5,123218
7,10,3,6,9,1,6,2,2,161139
3,5,0,17,6,2,3,1,5,95317
10,5,3,12,3,4,8,0,5,150799
4,12,0,9,0,0,9,0,1,202430
2,20,2,11,8,3,5,1,0,116589
0,19,4,17,9,2,5,1,1,207302
6,19,4,15,1,1,5,1,4,194789
11,20,3,12,7,4,9,0,4,200075
0,12,2,13,0,3,2,1,1,162716
5,16,3,3,0,3,2,1,1,126599
10,2,0,17,0,0,3,2,0,104092
7,15,0,5,7,4,7,0,5,130346
11,2,2,14,0,2,3,0,3,76537
5,0,0,19,8,1,4,0,1,93563
10,15,3,5,0,2,9,1,0,208290
9,18,2,3,5,0,2,1,2,202089
2,8,4,9,5,3,8,2,2,135652
1,11,1,10,0,4,4,2,3,122568
1,17,0,10,5,4,9,0,4,167275
4,7,0,13,1,1,9,1,3,180249
0,17,1,5,3,2,7,1,1,155579
6,12,4,8,8,3,5,0,3,152170
9,13,1,2,1,2,4,1,5,140269
4,3,4,1,5,3,2,0,4,132187
3,0,3,18,4,2,6,1,3,128695
6,2,1,9,2,0,4,1,0,122851
